,abb,median_days_open,month_id,state
123,ME,37,2008_3,Maine
122,MD,0,2008_3,Maryland
121,MA,9,2008_3,Massachusetts
124,MI,3,2008_3,Michigan
125,MN,21,2008_3,Minnesota
127,MS,1,2008_3,Mississippi
126,MO,5,2008_3,Missouri
128,MT,32,2008_3,Montana
131,NE,5,2008_3,Nebraska
135,NV,1,2008_3,Nevada
132,NH,11,2008_3,New Hampshire
133,NJ,3,2008_3,New Jersey
134,NM,6,2008_3,New Mexico
136,NY,3,2008_3,New York
129,NC,12,2008_3,North Carolina
130,ND,54,2008_3,North Dakota
137,OH,6,2008_3,Ohio
138,OK,26,2008_3,Oklahoma
139,OR,10,2008_3,Oregon
140,PA,6,2008_3,Pennsylvania
141,RI,25,2008_3,Rhode Island
142,SC,3,2008_3,South Carolina
143,SD,0,2008_3,South Dakota
144,TN,8,2008_3,Tennessee
145,TX,4,2008_3,Texas
146,UT,16,2008_3,Utah
148,VT,0,2008_3,Vermont
147,VA,3,2008_3,Virginia
149,WA,15,2008_3,Washington
151,WV,12,2008_3,West Virginia
150,WI,2,2008_3,Wisconsin
152,WY,53,2008_3,Wyoming
154,AL,11,2008_4,Alabama
153,AK,20,2008_4,Alaska
156,AZ,10,2008_4,Arizona
155,AR,2,2008_4,Arkansas
157,CA,0,2008_4,California
158,CO,15,2008_4,Colorado
159,CT,2,2008_4,Connecticut
161,DE,13,2008_4,Delaware
160,DC,1,2008_4,District of Columbia
162,FL,9,2008_4,Florida
163,GA,16,2008_4,Georgia
164,HI,17,2008_4,Hawaii
166,ID,13,2008_4,Idaho
167,IL,2,2008_4,Illinois
168,IN,23,2008_4,Indiana
165,IA,9,2008_4,Iowa
169,KS,23,2008_4,Kansas
170,KY,14,2008_4,Kentucky
171,LA,12,2008_4,Louisiana
174,ME,37,2008_4,Maine
173,MD,4,2008_4,Maryland
172,MA,10,2008_4,Massachusetts
175,MI,4,2008_4,Michigan
176,MN,17,2008_4,Minnesota
178,MS,26,2008_4,Mississippi
177,MO,7,2008_4,Missouri
179,MT,18,2008_4,Montana
182,NE,7,2008_4,Nebraska
186,NV,13,2008_4,Nevada
183,NH,9,2008_4,New Hampshire
184,NJ,4,2008_4,New Jersey
185,NM,2,2008_4,New Mexico
187,NY,16,2008_4,New York
180,NC,10,2008_4,North Carolina
181,ND,8,2008_4,North Dakota
188,OH,16,2008_4,Ohio
189,OK,13,2008_4,Oklahoma
190,OR,20,2008_4,Oregon
191,PA,13,2008_4,Pennsylvania
192,RI,9,2008_4,Rhode Island
193,SC,14,2008_4,South Carolina
194,SD,9,2008_4,South Dakota
195,TN,20,2008_4,Tennessee
196,TX,10,2008_4,Texas
197,UT,8,2008_4,Utah
199,VT,9,2008_4,Vermont
198,VA,0,2008_4,Virginia
200,WA,20,2008_4,Washington
202,WV,0,2008_4,West Virginia
201,WI,6,2008_4,Wisconsin
203,WY,29,2008_4,Wyoming
205,AL,8,2008_5,Alabama
204,AK,8,2008_5,Alaska
207,AZ,7,2008_5,Arizona
206,AR,6,2008_5,Arkansas
208,CA,6,2008_5,California
209,CO,18,2008_5,Colorado
210,CT,9,2008_5,Connecticut
212,DE,20,2008_5,Delaware
211,DC,0,2008_5,District of Columbia
213,FL,12,2008_5,Florida
214,GA,21,2008_5,Georgia
215,HI,1,2008_5,Hawaii
217,ID,23,2008_5,Idaho
218,IL,7,2008_5,Illinois
219,IN,20,2008_5,Indiana
216,IA,17,2008_5,Iowa
220,KS,9,2008_5,Kansas
221,KY,20,2008_5,Kentucky
222,LA,11,2008_5,Louisiana
225,ME,23,2008_5,Maine
224,MD,6,2008_5,Maryland
223,MA,24,2008_5,Massachusetts
226,MI,9,2008_5,Michigan
227,MN,9,2008_5,Minnesota
229,MS,11,2008_5,Mississippi
228,MO,14,2008_5,Missouri
230,MT,17,2008_5,Montana
233,NE,16,2008_5,Nebraska
237,NV,22,2008_5,Nevada
234,NH,22,2008_5,New Hampshire
235,NJ,19,2008_5,New Jersey
236,NM,3,2008_5,New Mexico
238,NY,21,2008_5,New York
231,NC,12,2008_5,North Carolina
232,ND,13,2008_5,North Dakota
239,OH,24,2008_5,Ohio
240,OK,11,2008_5,Oklahoma
241,OR,26,2008_5,Oregon
242,PA,24,2008_5,Pennsylvania
243,RI,18,2008_5,Rhode Island
244,SC,22,2008_5,South Carolina
245,SD,2,2008_5,South Dakota
246,TN,9,2008_5,Tennessee
247,TX,12,2008_5,Texas
248,UT,24,2008_5,Utah
250,VT,6,2008_5,Vermont
249,VA,9,2008_5,Virginia
251,WA,24,2008_5,Washington
253,WV,15,2008_5,West Virginia
252,WI,6,2008_5,Wisconsin
254,WY,14,2008_5,Wyoming
256,AL,21,2008_6,Alabama
255,AK,3,2008_6,Alaska
258,AZ,17,2008_6,Arizona
257,AR,6,2008_6,Arkansas
259,CA,1,2008_6,California
260,CO,12,2008_6,Colorado
261,CT,11,2008_6,Connecticut
263,DE,25,2008_6,Delaware
262,DC,0,2008_6,District of Columbia
264,FL,12,2008_6,Florida
265,GA,14,2008_6,Georgia
266,HI,21,2008_6,Hawaii
268,ID,18,2008_6,Idaho
269,IL,8,2008_6,Illinois
270,IN,25,2008_6,Indiana
267,IA,18,2008_6,Iowa
271,KS,16,2008_6,Kansas
272,KY,25,2008_6,Kentucky
273,LA,24,2008_6,Louisiana
276,ME,10,2008_6,Maine
275,MD,12,2008_6,Maryland
274,MA,17,2008_6,Massachusetts
277,MI,16,2008_6,Michigan
278,MN,8,2008_6,Minnesota
280,MS,9,2008_6,Mississippi
279,MO,12,2008_6,Missouri
281,MT,0,2008_6,Montana
284,NE,10,2008_6,Nebraska
288,NV,0,2008_6,Nevada
285,NH,51,2008_6,New Hampshire
286,NJ,20,2008_6,New Jersey
287,NM,27,2008_6,New Mexico
289,NY,20,2008_6,New York
282,NC,19,2008_6,North Carolina
283,ND,0,2008_6,North Dakota
290,OH,16,2008_6,Ohio
291,OK,7,2008_6,Oklahoma
292,OR,28,2008_6,Oregon
293,PA,24,2008_6,Pennsylvania
294,RI,24,2008_6,Rhode Island
295,SC,28,2008_6,South Carolina
296,SD,3,2008_6,South Dakota
297,TN,6,2008_6,Tennessee
298,TX,12,2008_6,Texas
299,UT,20,2008_6,Utah
300,VA,2,2008_6,Virginia
301,WA,18,2008_6,Washington
303,WV,12,2008_6,West Virginia
302,WI,0,2008_6,Wisconsin
304,WY,82,2008_6,Wyoming
0,VT,0,2008_6,Vermont
306,AL,8,2008_7,Alabama
305,AK,32,2008_7,Alaska
308,AZ,18,2008_7,Arizona
307,AR,5,2008_7,Arkansas
309,CA,0,2008_7,California
310,CO,9,2008_7,Colorado
311,CT,4,2008_7,Connecticut
313,DE,8,2008_7,Delaware
312,DC,0,2008_7,District of Columbia
314,FL,4,2008_7,Florida
315,GA,16,2008_7,Georgia
316,HI,19,2008_7,Hawaii
318,ID,18,2008_7,Idaho
319,IL,5,2008_7,Illinois
320,IN,12,2008_7,Indiana
317,IA,8,2008_7,Iowa
321,KS,21,2008_7,Kansas
